Player,Pos,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,FG%,3P%,2P%,eFG%,FT%
Pierre Jackson,PG,0.179,1.3,11.6,6.2,38,1.2,0,6.7,25.3,0.333,0.273,0.357,0.372,0.857
Reggie Jackson,PG,0.201,1.6,7.3,4.3,30.3,1.2,0.3,13.4,26.4,0.419,0.359,0.442,0.468,0.868
LeBron James,SF,0.395,4,20.7,12.6,41.3,1.6,1.3,16.1,30,0.548,0.363,0.611,0.594,0.674
Al Jefferson,C,0.18,9.2,24.2,16.8,11,1,1.5,6.1,26.1,0.499,0,0.5,0.499,0.765
Richard Jefferson,SF,0.315,2,11.5,6.9,6.6,0.8,0.5,11.8,12.2,0.446,0.333,0.58,0.536,0.741
John Jenkins,SG,0.4,0,8.6,4.2,11.5,0,0,0,18.9,0.4,0.5,0.333,0.5,1
Brandon Jennings,PG,0.284,1.8,10.1,5.9,30.4,1.9,0.2,17.5,17.6,0.359,0.313,0.399,0.433,0.75
Jonas Jerebko,PF,0.141,5.5,19.1,12.3,8.1,1,1.1,12.3,11.4,0.435,0.346,0.523,0.521,0.703
Amir Johnson,PF,0.27,8.2,17,12.6,13,1.6,3.2,15.7,13.6,0.576,0.409,0.612,0.612,0.67
Brice Johnson,PF,0,12.8,24.2,18.6,18.6,11.1,9.1,12.5,39.8,0.286,,0.286,0.286,
James Johnson,PF,0.28,3.5,16.6,9.9,20.9,1.8,3.2,16.5,22,0.479,0.34,0.548,0.535,0.707
Joe Johnson,SF,0.123,2.1,12.7,7.6,12.6,1,0.8,9.5,18.5,0.436,0.411,0.454,0.521,0.818
Stanley Johnson,SF,0.145,2.8,12.7,7.5,10.5,2.1,1.5,15.5,14.8,0.353,0.292,0.398,0.415,0.679
Tyler Johnson,PG,0.308,2.5,12.5,7.4,16.6,1.9,1.6,8.8,20.9,0.433,0.372,0.46,0.49,0.768
Wesley Johnson,SF,0.085,3.7,20.8,12.5,3.9,1.8,3,8,12.5,0.365,0.246,0.537,0.438,0.647
Nikola Jokic,C,0.267,11.6,27.2,19.5,28.8,1.5,2.1,15.2,23.5,0.578,0.324,0.628,0.605,0.825
Dahntay Jones,SF,0.5,9.5,8.9,9.2,14.5,0,0,9.3,39.9,0.375,0,0.5,0.375,0.75
